,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
2243,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.075,0.525,0.041666667,0.555555556,1.058201058,0.002291667,1.06875,,
2488,"frozenset({'call_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
897,"frozenset({'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
795,"frozenset({'call_depth_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
2446,"frozenset({'call_depth_max_neg', 'call_depth_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
2613,"frozenset({'call_depth_max_neg', 'call_depth_median_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
4461,"frozenset({'call_depth_max_neg', 'call_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.091666667,0.525,0.05,0.545454545,1.038961039,0.001875,1.045,,
108,frozenset({'global_nesting_depth_max_neg'}),frozenset({'AFL_data'}),0.2,0.525,0.108333333,0.541666667,1.031746032,0.003333333,1.036363636,,
418,"frozenset({'call_depth_max_neg', 'global_nesting_depth_max'})",frozenset({'AFL_data'}),0.108333333,0.525,0.058333333,0.538461538,1.025641026,0.001458333,1.029166667,,
247,"frozenset({'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.158333333,0.525,0.083333333,0.526315789,1.002506266,0.000208333,1.002777778,,
371,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.208333333,0.525,0.108333333,0.52,0.99047619,-0.001041667,0.989583333,,
1037,"frozenset({'global_nesting_depth_max', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.15,0.525,0.075,0.5,0.952380952,-0.00375,0.95,,
1214,"frozenset({'trace_length_median', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.15,0.525,0.075,0.5,0.952380952,-0.00375,0.95,,
873,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg'})",frozenset({'AFL_data'}),0.183333333,0.525,0.091666667,0.5,0.952380952,-0.004583333,0.95,,
556,"frozenset({'trace_length_median', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.183333333,0.525,0.091666667,0.5,0.952380952,-0.004583333,0.95,,
2547,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'AFL_data'}),0.116666667,0.525,0.058333333,0.5,0.952380952,-0.002916667,0.95,,
65,frozenset({'trace_length_median'}),frozenset({'AFL_data'}),0.491666667,0.525,0.241666667,0.491525424,0.936238902,-0.016458333,0.934166667,,
228,"frozenset({'trace_length_median', 'trace_length_max'})",frozenset({'AFL_data'}),0.458333333,0.525,0.225,0.490909091,0.935064935,-0.015625,0.933035714,,
266,"frozenset({'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.258333333,0.525,0.125,0.483870968,0.921658986,-0.010625,0.9203125,,
18,frozenset({'trace_length_max'}),frozenset({'AFL_data'}),0.483333333,0.525,0.233333333,0.482758621,0.91954023,-0.020416667,0.918333333,,
381,"frozenset({'global_nesting_depth_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.208333333,0.525,0.1,0.48,0.914285714,-0.009375,0.913461538,,
1628,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.175,0.525,0.083333333,0.476190476,0.907029478,-0.008541667,0.906818182,,
351,"frozenset({'trace_length_median', 'global_nesting_depth_max'})",frozenset({'AFL_data'}),0.316666667,0.525,0.15,0.473684211,0.902255639,-0.01625,0.9025,,
36,frozenset({'global_nesting_depth_max'}),frozenset({'AFL_data'}),0.441666667,0.525,0.208333333,0.471698113,0.898472597,-0.023541667,0.899107143,,
2857,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'trace_length_max', 'global_nesting_depth_median'})",frozenset({'AFL_data'}),0.141666667,0.525,0.066666667,0.470588235,0.896358543,-0.007708333,0.897222222,,
577,"frozenset({'trace_length_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.283333333,0.525,0.133333333,0.470588235,0.896358543,-0.015416667,0.897222222,,
998,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'trace_length_max'})",frozenset({'AFL_data'}),0.283333333,0.525,0.133333333,0.470588235,0.896358543,-0.015416667,0.897222222,,
1260,"frozenset({'trace_length_median', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.25,0.525,0.116666667,0.466666667,0.888888889,-0.014583333,0.890625,,
434,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.108333333,0.525,0.05,0.461538462,0.879120879,-0.006875,0.882142857,,
405,"frozenset({'global_nesting_depth_max', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.108333333,0.525,0.05,0.461538462,0.879120879,-0.006875,0.882142857,,
159,"frozenset({'global_nesting_depth_max', 'trace_length_max'})",frozenset({'AFL_data'}),0.308333333,0.525,0.141666667,0.459459459,0.875160875,-0.020208333,0.87875,,
843,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg'})",frozenset({'AFL_data'}),0.166666667,0.525,0.075,0.45,0.857142857,-0.0125,0.863636364,,
621,"frozenset({'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.166666667,0.525,0.075,0.45,0.857142857,-0.0125,0.863636364,,
1690,"frozenset({'global_nesting_depth_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.166666667,0.525,0.075,0.45,0.857142857,-0.0125,0.863636364,,
87,frozenset({'call_depth_median'}),frozenset({'AFL_data'}),0.391666667,0.525,0.175,0.446808511,0.85106383,-0.030625,0.858653846,,
1344,"frozenset({'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.075,0.525,0.033333333,0.444444444,0.846560847,-0.006041667,0.855,,
1763,"frozenset({'global_nesting_depth_max', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.075,0.525,0.033333333,0.444444444,0.846560847,-0.006041667,0.855,,
300,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max'})",frozenset({'AFL_data'}),0.075,0.525,0.033333333,0.444444444,0.846560847,-0.006041667,0.855,,
1052,"frozenset({'global_nesting_depth_max', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.15,0.525,0.066666667,0.444444444,0.846560847,-0.012083333,0.855,,
612,"frozenset({'trace_length_median', 'global_nesting_depth_median_neg'})",frozenset({'AFL_data'}),0.075,0.525,0.033333333,0.444444444,0.846560847,-0.006041667,0.855,,
1651,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.175,0.525,0.075,0.428571429,0.816326531,-0.016875,0.83125,,
2887,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.141666667,0.525,0.058333333,0.411764706,0.784313725,-0.016041667,0.8075,,
1899,"frozenset({'call_depth_max', 'trace_length_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.25,0.525,0.1,0.4,0.761904762,-0.03125,0.791666667,,
467,"frozenset({'trace_length_median', 'call_depth_max'})",frozenset({'AFL_data'}),0.25,0.525,0.1,0.4,0.761904762,-0.03125,0.791666667,,
1517,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.166666667,0.525,0.066666667,0.4,0.761904762,-0.020833333,0.791666667,,
3653,"frozenset({'global_nesting_depth_max', 'trace_length_median', 'call_depth_median', 'call_depth_max'})",frozenset({'AFL_data'}),0.166666667,0.525,0.066666667,0.4,0.761904762,-0.020833333,0.791666667,,
128,frozenset({'call_depth_median_neg'}),frozenset({'AFL_data'}),0.125,0.525,0.05,0.4,0.761904762,-0.015625,0.791666667,,
879,"frozenset({'call_depth_max_neg', 'call_depth_median_neg'})",frozenset({'AFL_data'}),0.125,0.525,0.05,0.4,0.761904762,-0.015625,0.791666667,,
2432,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.15,0.525,0.058333333,0.388888889,0.740740741,-0.020416667,0.777272727,,
2598,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.15,0.525,0.058333333,0.388888889,0.740740741,-0.020416667,0.777272727,,
4431,"frozenset({'call_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.15,0.525,0.058333333,0.388888889,0.740740741,-0.020416667,0.777272727,,
126,frozenset({'global_nesting_depth_median_neg'}),frozenset({'AFL_data'}),0.366666667,0.525,0.141666667,0.386363636,0.735930736,-0.050833333,0.774074074,,
1356,"frozenset({'trace_length_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.108333333,0.525,0.041666667,0.384615385,0.732600733,-0.015208333,0.771875,,
2947,"frozenset({'global_nesting_depth_max', 'trace_length_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.108333333,0.525,0.041666667,0.384615385,0.732600733,-0.015208333,0.771875,,
1120,"frozenset({'trace_length_median', 'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.216666667,0.525,0.083333333,0.384615385,0.732600733,-0.030416667,0.771875,,
3081,"frozenset({'trace_length_median', 'call_depth_median', 'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.216666667,0.525,0.083333333,0.384615385,0.732600733,-0.030416667,0.771875,,
190,"frozenset({'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.216666667,0.525,0.083333333,0.384615385,0.732600733,-0.030416667,0.771875,,
1171,"frozenset({'call_depth_max', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.216666667,0.525,0.083333333,0.384615385,0.732600733,-0.030416667,0.771875,,
326,"frozenset({'global_nesting_depth_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.175,0.525,0.066666667,0.380952381,0.725623583,-0.025208333,0.767307692,,
1580,"frozenset({'call_depth_max', 'global_nesting_depth_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.175,0.525,0.066666667,0.380952381,0.725623583,-0.025208333,0.767307692,,
944,"frozenset({'global_nesting_depth_max', 'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
4652,"frozenset({'call_depth_max', 'trace_length_median', 'trace_length_max', 'call_depth_median', 'global_nesting_depth_max'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
3763,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
2087,"frozenset({'trace_length_median', 'global_nesting_depth_median_neg', 'call_depth_median'})",frozenset({'AFL_data'}),0.066666667,0.525,0.025,0.375,0.714285714,-0.01,0.76,,
1426,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.066666667,0.525,0.025,0.375,0.714285714,-0.01,0.76,,
2772,"frozenset({'global_nesting_depth_max', 'call_depth_median', 'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
3302,"frozenset({'trace_length_median', 'global_nesting_depth_median_neg', 'trace_length_max', 'call_depth_median'})",frozenset({'AFL_data'}),0.066666667,0.525,0.025,0.375,0.714285714,-0.01,0.76,,
736,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
834,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
2341,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
2015,"frozenset({'trace_length_median', 'global_nesting_depth_median', 'call_depth_median'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
2689,"frozenset({'trace_length_median', 'global_nesting_depth_max', 'trace_length_max', 'call_depth_max'})",frozenset({'AFL_data'}),0.133333333,0.525,0.05,0.375,0.714285714,-0.02,0.76,,
890,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'AFL_data'}),0.291666667,0.525,0.108333333,0.371428571,0.707482993,-0.044791667,0.755681818,,
2473,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'AFL_data'}),0.291666667,0.525,0.108333333,0.371428571,0.707482993,-0.044791667,0.755681818,,
