,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,,
649,"frozenset({'global_nesting_depth_max_neg', 'call_depth_median'})",frozenset({'KLEE_data'}),0.083333333,0.325,0.05,0.6,1.846153846,0.022916667,1.6875,,
611,"frozenset({'global_nesting_depth_median', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.041666667,0.325,0.025,0.6,1.846153846,0.011458333,1.6875,,
1585,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.058333333,0.325,0.033333333,0.571428571,1.758241758,0.014375,1.575,,
1494,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.058333333,0.325,0.033333333,0.571428571,1.758241758,0.014375,1.575,,
426,"frozenset({'global_nesting_depth_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.058333333,0.325,0.033333333,0.571428571,1.758241758,0.014375,1.575,,
2992,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.058333333,0.325,0.033333333,0.571428571,1.758241758,0.014375,1.575,,
800,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.133333333,0.325,0.075,0.5625,1.730769231,0.031666667,1.542857143,,
2029,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.133333333,0.325,0.075,0.5625,1.730769231,0.031666667,1.542857143,,
700,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.133333333,0.325,0.075,0.5625,1.730769231,0.031666667,1.542857143,,
1926,"frozenset({'global_nesting_depth_max_neg', 'call_depth_median', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.075,0.325,0.041666667,0.555555556,1.709401709,0.017291667,1.51875,,
842,"frozenset({'global_nesting_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.183333333,0.325,0.1,0.545454545,1.678321678,0.040416667,1.485,,
666,"frozenset({'call_depth_median', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.05,0.545454545,1.678321678,0.020208333,1.485,,
2053,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.125,0.325,0.066666667,0.533333333,1.641025641,0.026041667,1.446428571,,
3554,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.125,0.325,0.066666667,0.533333333,1.641025641,0.026041667,1.446428571,,
2278,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.125,0.325,0.066666667,0.533333333,1.641025641,0.026041667,1.446428571,,
2097,"frozenset({'trace_length_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.15,0.514285714,1.582417582,0.055208333,1.389705882,,
830,"frozenset({'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.15,0.514285714,1.582417582,0.055208333,1.389705882,,
725,"frozenset({'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.15,0.514285714,1.582417582,0.055208333,1.389705882,,
108,frozenset({'global_nesting_depth_max_neg'}),frozenset({'KLEE_data'}),0.2,0.325,0.1,0.5,1.538461538,0.035,1.35,,
129,frozenset({'call_depth_median_neg'}),frozenset({'KLEE_data'}),0.125,0.325,0.058333333,0.466666667,1.435897436,0.017708333,1.265625,,
848,"frozenset({'call_depth_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.125,0.325,0.058333333,0.466666667,1.435897436,0.017708333,1.265625,,
416,"frozenset({'trace_length_median_neg', 'global_nesting_depth_max'})",frozenset({'KLEE_data'}),0.108333333,0.325,0.05,0.461538462,1.420118343,0.014791667,1.253571429,,
2167,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.133333333,0.457142857,1.406593407,0.038541667,1.243421053,,
860,"frozenset({'global_nesting_depth_median_neg', 'trace_length_median_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.133333333,0.457142857,1.406593407,0.038541667,1.243421053,,
755,"frozenset({'global_nesting_depth_median_neg', 'trace_length_max_neg'})",frozenset({'KLEE_data'}),0.291666667,0.325,0.133333333,0.457142857,1.406593407,0.038541667,1.243421053,,
3453,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.041666667,0.454545455,1.398601399,0.011875,1.2375,,
2231,"frozenset({'global_nesting_depth_max_neg', 'trace_length_median_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.041666667,0.454545455,1.398601399,0.011875,1.2375,,
1992,"frozenset({'global_nesting_depth_max_neg', 'trace_length_max_neg', 'call_depth_max_neg'})",frozenset({'KLEE_data'}),0.091666667,0.325,0.041666667,0.454545455,1.398601399,0.011875,1.2375,,
810,"frozenset({'global_nesting_depth_max_neg', 'global_nesting_depth_median_neg'})",frozenset({'KLEE_data'}),0.166666667,0.325,0.075,0.45,1.384615385,0.020833333,1.227272727,,
