trace_length_max,global_nesting_depth_max,call_depth_max,no_of_local_variables_max,taintCount_max,trace_length_mean,global_nesting_depth_mean,call_depth_mean,no_of_local_variables_mean,taintCount_mean,trace_length_median,global_nesting_depth_median,call_depth_median,no_of_local_variables_median,taintCount_median,trace_length_min,global_nesting_depth_min,call_depth_min,no_of_local_variables_min,taintCount_min
44,3,2,6,3,28.8,2.2,1.6,4.8,1.6,28,2,2,5,1,4,1,1,2,1
94,3,2,79,3,51.73913043,2.826086957,1.913043478,36.08695652,1.130434783,52,3,2,34,1,4,1,1,2,1
64,6,4,11,5,38,2.266666667,2.266666667,5.533333333,2.733333333,47,2,2,5,4,2,0,1,0,0
75,6,4,12,5,41,2.3,2.25,5.3,2.45,39,2,2,5.5,1.5,3,0,1,0,0
67,6,4,11,5,39.0625,2.25,2.25,5.5625,2.625,43.5,2,2,4.5,3,5,0,1,0,0
81,6,4,12,5,46.6,2.6,2.48,6.12,2.36,47,2,2,6,1,3,0,1,0,0
18,0,6,3,2,15,-0.666666667,4.666666667,0.833333333,0.833333333,15.5,-1,4.5,0.5,0.5,10,-1,3,0,0
56,5,5,4,2,43.2,2.4,4,1,1.2,49.5,2.5,4,0.5,1,6,0,2,0,0
23,2,4,4,2,17.66666667,0.833333333,3.333333333,1.666666667,1.333333333,20.5,0.5,3.5,1,1.5,6,0,2,0,0
16,0,6,3,2,13,-0.666666667,4.666666667,0.833333333,0.833333333,13.5,-1,4.5,0.5,0.5,8,-1,3,0,0
22,2,3,6,2,14.44444444,0.777777778,2.111111111,2.555555556,0.888888889,14,1,2,3,1,2,0,1,0,0
30,4,2,9,2,16.36363636,1.818181818,1.363636364,5.272727273,1.636363636,16,1,1,6,2,2,1,1,2,1
28,5,2,7,2,14.55555556,2,1.222222222,4.666666667,1.777777778,12,1,1,5,2,2,1,1,2,1
28,5,2,7,2,14.55555556,2,1.222222222,4.666666667,1.777777778,12,1,1,5,2,2,1,1,2,1
38,3,3,18,2,24.85714286,2,2.285714286,8.285714286,1.428571429,33,2,2,7,1,6,0,1,1,1
38,3,3,18,2,22,1.875,2.125,8,1.375,26,2,2,6.5,1,2,0,1,1,1
51,3,3,18,3,25.84615385,2.076923077,2.384615385,6.153846154,1.615384615,20,2,2,4,1,6,0,1,1,1
53,3,3,18,3,26.21428571,2,2.285714286,6.142857143,1.642857143,19.5,2,2,4,1.5,6,0,1,1,1
131,4,2,5,1,67,2.5,1.5,3,1,67,2.5,1.5,3,1,3,1,1,1,1
179,7,3,40,1,140.6470588,5.470588235,2.352941176,15.23529412,1,146.5,6,2,10,1,3,1,1,2,1
189,7,3,40,1,146.7179487,5.666666667,2.435897436,13.53846154,1,152,6,2,5,1,3,1,1,2,1
184,7,3,40,1,142.9117647,5.617647059,2.352941176,15.23529412,1,148.5,6,2,10,1,3,1,1,2,1
53,4,4,11,2,30,2.058823529,2.352941176,4.058823529,1.411764706,24,2,2,4,1,2,0,1,0,1
51,4,4,11,2,28.23529412,2.058823529,2.352941176,4.058823529,1.411764706,22,2,2,4,1,2,0,1,0,1
59,4,4,11,2,32.0952381,2.142857143,2.380952381,4.142857143,1.428571429,26,2,2,4,1,2,0,1,0,1
63,4,4,11,2,34.04347826,2.173913043,2.391304348,4.173913043,1.434782609,28,2,2,4,1,2,0,1,0,1
21503,7,5,7,2,10886.73166,4.517374517,4.077220077,3.864864865,1.023166023,11067.5,5,4,3,1,6,0,1,1,1
22172,7,5,7,2,11063.17658,4.498141264,4.081784387,3.856877323,1.022304833,11092.5,5,4,3,1,2,0,1,0,1
21503,7,5,7,2,10865.75915,4.510597303,4.071290944,3.861271676,1.023121387,11066,5,4,3,1,2,0,1,1,1
831,7,5,9,2,324.328125,2.609375,3.15625,7.5625,1.0625,125,2,3,9,1,2,0,1,1,1
